violation_type,count
"[""WRONG PARKING""]",138764
"[""NO PARKING""]",119576
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING""]",9472
"[""PARKING IN A MAIN ROAD"",""NO PARKING""]",4818
"[""WRONG PARKING"",""DEFECTIVE NUMBER PLATE""]",3317
"[""NO PARKING"",""PARKING IN A MAIN ROAD""]",2449
"[""NO PARKING"",""DEFECTIVE NUMBER PLATE""]",2380
"[""WRONG PARKING"",""PARKING IN A MAIN ROAD""]",1955
"[""PARKING ON FOOTPATH"",""WRONG PARKING""]",1190
"[""NO PARKING"",""WRONG PARKING""]",891
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""NO PARKING""]",865
"[""WRONG PARKING"",""NO PARKING""]",827
"[""PARKING ON FOOTPATH"",""NO PARKING""]",682
"[""NO PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD""]",675
"[""WRONG PARKING"",""PARKING ON FOOTPATH""]",466
"[""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",389
"[""DEFECTIVE NUMBER PLATE"",""WRONG PARKING""]",380
"[""NO PARKING"",""DOUBLE PARKING""]",367
"[""NO PARKING"",""PARKING ON FOOTPATH""]",344
"[""WRONG PARKING"",""REFUSE TO GO FOR HIRE""]",329
"[""PARKING NEAR ROAD CROSSING"",""WRONG PARKING""]",310
"[""DEFECTIVE NUMBER PLATE"",""NO PARKING""]",293
"[""WRONG PARKING"",""NO PARKING"",""PARKING IN A MAIN ROAD""]",272
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""DEFECTIVE NUMBER PLATE""]",261
"[""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",239
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING""]",238
"[""WRONG PARKING"",""DOUBLE PARKING""]",237
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING""]",182
"[""PARKING OTHER THAN BUS STOP"",""WRONG PARKING""]",181
"[""PARKING ON FOOTPATH"",""WRONG PARKING"",""NO PARKING""]",177
"[""PARKING IN A MAIN ROAD"",""NO PARKING"",""WRONG PARKING""]",150
"[""PARKING IN A MAIN ROAD"",""DOUBLE PARKING"",""WRONG PARKING""]",146
"[""DOUBLE PARKING"",""WRONG PARKING""]",142
"[""WRONG PARKING"",""DEFECTIVE NUMBER PLATE"",""REFUSE TO GO FOR HIRE""]",132
"[""NO PARKING"",""USING BLACK FILM/OTHER MATERIALS""]",130
"[""PARKING NEAR ROAD CROSSING"",""NO PARKING""]",130
"[""NO PARKING"",""PARKING NEAR ROAD CROSSING""]",109
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",109
"[""WRONG PARKING"",""PARKING NEAR ROAD CROSSING""]",104
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING""]",104
